     1→     1→# WEDJAT BRAIN — Phase 0 Ecosystem Audit (§137)
   224→   224→- **Public & inspectable (with substantive content):** 12 of 15
   225→   225→- **Public but stub/placeholder:** 2 (MTQ #9 — LICENSE + 183 B README; Wedjat_BrainAI #15 — LICENSE only)
   226→   226→- **404 / not inspectable:** 1 (EGYCOURT #11 — org exists but `public_repos: 0`)
   227→   227→- **Private (requiring token):** 0 (none — token use was explicitly forbidden by the task and none of the audited repos are private)
   228→   228→
   229→   229→### Common frameworks & shared scaffold
   230→   230→A near-identical Next.js + Prisma + shadcn/ui scaffold recurs across 11 of the 12 substantive repos. The shared stack is:
   231→   231→
   232→   232→| Concern | Choice | Repos using it |
   233→   233→|---|---|---|
   234→   234→| Framework | Next.js 16 (App Router + Turbopack) | CIRKLE, MAIL, olympex, mashahd, verify, wasl, Aurienta, SGTX, judge_synapse, PPE, MTQ_SIGMA |
   235→   235→| UI | shadcn/ui (New York) + Tailwind 4 | all 11 above |
   236→   236→| DB ORM | Prisma | all 11 above |
   237→   237→| DB runtime | libSQL/SQLite (local) → Turso (production) | CIRKLE, mashahd, verify, wasl, Aurienta, SGTX, judge_synapse, PPE, MTQ_SIGMA |
   238→   238→| DB alt | Drizzle (Neon serverless, edge) | verify |
   239→   239→| DB alt | Postgres (production scripts) | SGTX (`db:push-postgres`) |
   240→   240→| Cache | Upstash Redis | MTQ_SIGMA |
   241→   241→| Auth | next-auth | CIRKLE, Aurienta, SGTX, judge_synapse, PPE, MTQ_SIGMA, wasl, verify |
   242→   242→| i18n | next-intl | CIRKLE, Aurienta, SGTX, judge_synapse, PPE, MTQ_SIGMA, wasl, verify |
   243→   243→| Theming | next-themes | all 11 above |
   244→   244→| Build | Bun (`bun.lock`) + Vercel deploy | all 11 above |
   245→   245→| Dev protocol | `worklog.md` (multi-agent shared log) | CIRKLE (645 KB), mashahd (1.7 MB), Aurienta (1.7 MB), judge_synapse, the local Wedjat workspace itself — **this is the WEDJAT-style multi-agent protocol recurring across the ecosystem** |
   246→   246→| Repo skeleton | `.zscripts/`, `agent-ctx/`, `mini-services/`, `examples/`, `skills/`, `scripts/`, `screenshots/`, `download/`, `Dockerfile`, `Caddyfile` | mashahd, Aurienta, judge_synapse (full set); partial in others |
   247→   247→
   248→   248→**Implication for the Brain:** the ecosystem-wide scaffold means a single well-designed adapter pattern (Next.js → `/api/brain/*` proxy or embedded SDK) can be reused across 11 platforms with minimal variation. The Brain adapter layer should be a portable TypeScript package.
   249→   249→
   250→   250→### AI provider convergence — and the one outlier
   251→   251→- **`z-ai-web-dev-sdk` is the de-facto AI standard** across the audited ecosystem: 8 of 12 substantive repos use it (MAIL, verify, SGTX, judge_synapse, PPE, olympex_export, MTQ_SIGMA, and the local Wedjat workspace itself).
   252→   252→- **AURIENTA is the only outlier** with `@google/generative-ai`, `@huggingface/inference`, `groq-sdk`, `openai` — four parallel providers, none of which is z-ai.
   253→   253→- **CIRKLE, mashahd, wasl** have no AI SDK declared in their top-level `package.json` (could be in nested workspaces or unused).
   254→   254→- **Implication:** the Brain's model abstraction (spec §45-48) should treat `z-ai-web-dev-sdk` as the canonical adapter (already implemented in the local workspace per worklog Task 1-7) and add a "multi-provider passthrough" adapter for AURIENTA's existing SDK fan-out. Do NOT force AURIENTA to migrate before integration.
   255→   255→
   256→   256→### DB convergence
   257→   257→- **Prisma is universal** for app data.
   258→   258→- **Turso (libSQL)** is the production target in nearly every repo with a stated production DB.
   259→   259→- **SGTX** is the only repo with explicit Postgres tooling.
   260→   260→- **verify** uses both Prisma and Drizzle (likely Drizzle for Neon edge reads) — adapters must support both ORMs.
   261→   261→- **MTQ_SIGMA** uniquely adds Upstash Redis (cache) and `ethers` (Web3) — adapter must handle a cache layer + on-chain reads.
   262→   262→
   263→   263→### Realtime / Web3 / special stacks
   264→   264→- **Socket.io** in CIRKLE, wasl, MTQ_SIGMA — Brain adapter needs an event-bridge pattern (not just REST).
   265→   265→- **Ed25519 signatures** in SGTX — non-custodial; Brain must never hold keys.
   266→   266→- **Solidity contracts + 4 testnets** in MTQ_SIGMA — on-chain actions are inherently HIGH risk.
   267→   267→- **tesseract.js** in verify — additional OCR engine alongside z-ai VLM.
   268→   268→- **PWA + offline-first** in PPE — installable on mobile without app store.
   269→   269→
   270→   270→### Notable patterns
   271→   271→1. **Heavy multi-agent documentation culture:** `worklog.md` files ranging from 645 KB (CIRKLE) to 1.7 MB (mashahd, Aurienta) — every major platform carries a long multi-agent build history. The WEDJAT project's own worklog is part of this same protocol family.
   272→   272→2. **Zero-cost / self-hosted ethos:** `ZERO_COST_ARCHITECTURE.md` (CIRKLE), "zero-cost, self-hosted, privacy-first" (verify), "Zero-cost, sovereign infrastructure" (SGTX) — recurring architectural principle. The Brain's local-only SQLite + in-memory TF-cosine retrieval (per worklog Task 1-7) fits this ethos.
   273→   273→3. **Sovereign / jurisdictional framing:** SGTX ("jurisdiction supremacy"), AURIENTA ("constitutional infrastructure"), MTQ ("neutral settlement"), judge_synapse ("sovereign platform") — the ecosystem is politically sovereignty-themed; Brain governance (§100-105) must respect this.
   274→   274→4. **Arabic-first / Egyptian context:** verify (Arabic OCR, Egyptian National ID), judge_synapse (Arabic UI + Egyptian gov portals), PPE (Arabic technical report), olympex (Egyptian exporter), wasl (Arabic brand "وصل"). Brain i18n (next-intl already present in 8 repos) must include Arabic as a first-class locale.
   275→   275→5. **Audit/provenance culture:** `COO_AUDIT_REPORT.md` (CIRKLE), `REPOSITORY_INTEGRITY.md` (Aurienta), `PRODUCTION_READINESS_AUDIT.md` (multiple), `signed corpus snapshot` (judge_synapse `EJB-CORPUS-2026.08-R1`), Monte Carlo + on-chain invariant tests (MTQ_SIGMA) — the ecosystem already values provenance and audit, which is exactly what the Brain's §127-130 (audit) and §26-33 (provenance) provide.
   276→   276→6. **mashahd ↔ Aurienta identical file sizes** for shared top-level files (`bun.lock` 377,686 B, `worklog.md` 1,724,116 B, etc.) — strongly suggests one was forked from the other or both came from the same template snapshot. A later audit should diff the two `worklog.md` files to confirm.
   277→   277→
   278→   278→### Recommended adapter priority order (based on what's actually inspectable)
   279→   279→Ranked by (a) inspectable content depth, (b) Brain-alignment of stated purpose, (c) reuse of canonical stack (Next.js + Prisma + shadcn + z-ai), (d) scope simplicity for first integration:
   280→   280→
   281→   281→| Priority | Platform | Rationale |
   282→   282→|---|---|---|
   283→   283→| **P0 (now)** | (15) Wedjat_BrainAI | Local workspace code is fully functional per worklog; not blocked by GitHub stub |
   284→   284→| **P1 (highest external value)** | (5) VERIFY | Brain-aligned (identity/evidence/validity). z-ai. Clean README. Maps to §62, §83-85 |
   285→   285→| **P1** | (10) JUDGE-SMART | Brain-aligned (knowledge/provenance/audit). z-ai. `system_proposal` vs. `judge_decision` matches §165 |
   286→   286→| **P2** | (2) CIRKLE-MAIL | z-ai. Small, well-scoped, high-leverage (email tools) |
   287→   287→| **P2** | (13) PPE | z-ai. Small, real dataset, golden-eval pattern (§86-92) |
   288→   288→| **P3** | (3) OLYMPEX | z-ai. Small. Lower domain leverage (export site) |
   289→   289→| **P3** | (6) WASL | z-ai NOT declared (verify before integration). Socket.io realtime — needs event bridge. "Commit" lifecycle matches §55 |
   290→   290→| **P3** | (8) SGTX | z-ai. Highest security profile (Ed25519, trade execution). Defer until §56 risk gating is field-proven |
   291→   291→| **P3** | (14) MTQ SIGMA | z-ai. Web3 + 4 testnets + Sharia review. Highest domain complexity |
   292→   292→| **P4** | (4) MASHAHD | No README, no z-ai declared. Large + multi-service. Defer until mashahd exposes README |
   293→   293→| **P4** | (1) CIRKLE-SUPERAPP | Hub repo. Has `INTEGRATION.md` and `PHASE0_INSPECTION_REPORT.md` — **read these first** before any adapter |
   294→   294→| **P4** | (7) AURIENTA | **AI-provider divergence** (4 SDKs, no z-ai). Architectural reconciliation needed before adapter |
   295→   295→| **P5 (blocked)** | (12) SGTX FABLE | README ↔ package.json inconsistency. Reconciliation needed before adapter |
   296→   296→| **P5 (blocked)** | (9) MTQ | Stub repo (concept only). No runtime to integrate |
   297→   297→| **P5 (blocked / missing)** | (11) EGYCOURT | 404 / no public repo. Contact owner; cannot claim inspection per §186 |
   298→   298→
   299→   299→---
   300→   300→
   301→   301→## Honest Limitations
   302→   302→
   303→   303→1. **No runtime inspection.** Per the task, this audit was read-only at the GitHub metadata level. No repo was cloned, no code was executed, no deployed site was probed. The "AI hints", "DB hints", and "Framework hints" columns are inferred from `package.json` (top-level only — nested workspace `package.json` files in monorepos like CIRKLE/mashahd were NOT inspected) and README prose. Actual runtime behavior may differ.
   304→   304→2. **Three repos have no README** (CIRKLE, mashahd, Aurienta) and **two are stubs** (MTQ, Wedjat_BrainAI). Their "purpose" is inferred from the GitHub API `description` field and surrounding docs only — runtime capabilities are NOT confirmed.
   305→   305→3. **EGYCOURT (egycourt/egycourt) is genuinely not inspectable.** The org exists but has zero public repos. Per spec §186, **EGYCOURT cannot be claimed as integrated until a public repo appears or the owner grants access**.
   306→   306→4. **Rate limits:** Unauthenticated GitHub API has a 60 req/hour/IP limit. Some calls initially returned HTTP 403 (rate limit) and were retried successfully after brief delays. All final data points in the Summary Table are from successful HTTP 200 responses (or confirmed HTTP 404 for EGYCOURT).
   307→   307→5. **AI provider claims:** the presence of an AI SDK in `package.json` does NOT prove it is used at runtime — it may be a leftover dependency. Conversely, SDKs not declared in the top-level `package.json` may exist in nested workspace packages (especially for monorepos like CIRKLE and mashahd which have many `mini-services` and `skills` directories).
   308→   308→6. **No deployed-site verification.** Each repo lists a Vercel homepage URL — none were probed. Their liveness, version, or feature parity with the repo's `main` branch is unverified.
   309→   309→7. **mashahd ↔ Aurienta identical file sizes** were observed but NOT diffed byte-for-byte; the conclusion that they share a template/fork snapshot is an inference, not a confirmation.
   310→   310→8. **MTQ SIGMA "4 testnets deployed"** claim is from the README only; on-chain contract addresses were not verified.
   311→   311→9. **judge_synapse "14 gov portals indexed"** claim is from the README only; portal liveness was not verified.
   312→   312→10. **The WEDJAT BRAIN V2 widget** itself is documented only via the local `/home/z/my-project/worklog.md` (Task IDs 0–8). The GitHub repo `WEDJATAI/Wedjat_BrainAI` is a LICENSE-only placeholder. Cross-references in this audit treat the local workspace as the source of truth for the Brain.
   313→   313→
